"type","var","n","mean","sd","min","max"
"item_based","big5_item_n",6292,1.11991455778805,0.478944112650591,-2.11111111111111,4.66666666666667
"item_based","big5_item_e",6280,1.84365388989991,0.460187423086989,1,3.88888888888889
"item_based","big5_item_o",6266,2.58861430271624,2.44966612893443,0.519705,26.5031490909091
"item_based","big5_item_c",6270,1.57912014885699,0.442321751497602,1,4
"item_based","big5_item_a",6288,4.61403248027771,0.54435228517613,0.538461538461538,8
"midus_scale","big5_scale_neuroticism",6271,3.48932918726413,0.489367473987978,1,4
"midus_scale","big5_scale_extraversion",6271,3.19954818476585,0.560372500833228,1,4
"midus_scale","big5_scale_openness",6265,2.23873370577281,0.662978444348307,1,4
"midus_scale","big5_scale_conscientiousness",6270,3.42087985114301,0.442321751497602,1,4
"midus_scale","big5_scale_agreeableness",6264,3.01683269476373,0.526396137973947,1,4
